#{"t_start": 1633480443.85006, "env_id": null}
r,l,t
0,20,2.822033
0,20,5.543999
0,20,7.216033
0,20,8.920024
0,20,10.925999
0,20,13.554615
0,20,15.196618
0,20,17.313616
0,20,19.263616
0,20,21.805618
0,20,28.785615
0,20,30.751618
0,20,34.342617
0,20,35.88764
0,20,37.571618
0,20,39.384619
0,20,41.301618
0,20,43.339617
0,20,45.621617
0,20,47.200615
0,20,49.230618
0,20,51.723617
0,20,53.912615
0,20,56.299641
0,20,58.206616
0,20,59.950619
0,20,61.682642
0,20,63.916618
0,20,66.176618
0,20,68.132616
0,20,71.410616
0,20,73.506618
0,20,75.962617
0,20,77.901616
0,20,79.495617
0,20,81.439616
0,20,83.211618
0,20,85.190617
0,20,87.196619
0,20,89.03764
0,20,91.285616
0,20,92.840616
0,20,95.387617
0,20,98.405619
0,20,100.905618
0,20,103.198616
0,20,105.248616
0,20,108.199618
0,20,109.991641
0,20,112.037616
0,20,114.073617
0,20,116.479616
0,20,119.372616
0,20,122.368616
0,20,124.566617
0,20,126.766616
0,20,129.465616
0,20,133.915616
0,20,136.17064
0,20,139.542617
0,20,142.018617
0,20,143.856619
0,20,146.422616
0,20,148.210618
0,20,150.056616
0,20,152.108617
0,20,153.942618
0,20,157.377618
0,20,160.089615
0,20,162.073617
0,20,164.507641
0,20,166.347618
0,20,168.971617
0,20,170.654616
0,20,172.475641
0,20,174.506618
0,20,178.12564
0,20,185.218619
0,20,187.075618
0,20,188.707618
0,20,191.748615
0,20,193.758617
0,20,196.212616
0,20,198.557616
0,20,202.96664
0,20,204.926615
0,20,206.753618
0,20,208.699616
0,20,211.325616
0,20,213.303618
0,20,215.045617
0,20,218.302618
0,20,221.890618
0,20,224.710616
0,20,226.369618
0,20,228.154619
0,20,230.178615
0,20,232.580615
0,20,234.812618
0,20,236.77962
0,20,238.915616
0,20,241.016618
0,20,243.356616
0,20,244.963618
0,20,250.437616
0,20,252.182617
0,20,255.210618
0,20,257.486616
0,20,260.318615
0,20,262.438618
1,15,264.877651
0,20,266.755615
0,20,268.784617
0,20,270.780617
0,20,273.096617
0,20,275.626615
0,20,278.785615
0,20,280.421616
0,20,282.770616
0,20,284.310615
0,20,286.088618
0,20,290.848618
0,20,293.219617
0,20,294.982618
0,20,297.750616
0,20,300.365616
0,20,302.809616
0,20,305.10464
0,20,307.143616
0,20,309.136618
0,20,311.546616
0,20,315.284617
0,20,316.931618
0,20,318.744649
0,20,321.070618
0,20,322.971619
0,20,324.766639
0,20,326.709618
0,20,329.453616
0,20,332.485618
0,20,334.64964
0,20,336.921616
0,20,339.240618
0,20,341.195618
0,20,342.789616
0,20,344.390616
0,20,348.782616
0,20,352.188617
0,20,354.344617
0,20,356.123618
0,20,358.773618
0,20,361.911616
0,20,363.574616
0,20,365.532615
0,20,371.165615
0,20,373.147618
0,20,374.911618
0,20,376.762618
0,20,378.476615
0,20,380.697616
0,20,382.860618
0,20,387.379615
0,20,389.847619
0,20,392.506615
0,20,394.17364
0,20,396.212616
0,20,398.429616
0,20,400.047617
0,20,401.979617
0,20,404.107641
0,20,407.233615
0,20,410.152616
0,20,412.938618
0,20,415.206641
0,20,417.906617
0,20,419.541615
0,20,421.855616
0,20,425.879617
0,20,428.061615
0,20,429.814617
0,20,432.337616
0,20,434.835617
0,20,436.725618
0,20,439.224616
0,20,441.923617
0,20,443.905617
0,20,445.613618
0,20,452.097618
0,20,455.251616
0,20,456.831618
0,20,458.765616
0,20,460.578615
0,20,462.393616
0,20,464.528616
0,20,466.510615
0,20,468.775616
0,20,471.597618
0,20,474.026616
0,20,478.721616
0,20,480.650616
0,20,483.507617
0,20,485.791615
0,20,487.963617
0,20,489.636615
0,20,491.225639
0,20,493.379618
0,20,495.069617
0,20,497.112616
0,20,501.097615
0,20,502.92362
0,20,504.603616
0,20,506.782615
0,20,508.827618
0,20,511.097615
0,20,513.378615
0,20,515.148617
0,20,517.021616
0,20,518.859618
0,20,520.404616
0,20,522.311616
0,20,524.615618
0,20,527.041617
0,20,529.453616
0,20,531.283618
0,20,533.231618
0,20,535.43664
0,20,537.22964
0,20,540.101618
0,20,542.022617
0,20,547.281616
0,20,549.579616
0,20,551.781615
0,20,555.286618
0,20,557.140618
0,20,558.891618
0,20,560.564618
0,20,562.245619
0,20,566.145618
0,20,567.943618
0,20,569.432616
0,20,574.311618
0,20,576.131617
0,20,578.464615
0,20,582.076616
0,20,584.134619
0,20,586.581618
0,20,588.405618
0,20,591.423618
0,20,593.429616
0,20,595.413616
0,20,598.606617
0,20,600.420617
0,20,601.920615
0,20,603.409004
0,20,605.205004
0,20,607.314007
0,20,609.011005
0,20,610.748004
0,20,613.151004
0,20,616.478004
0,20,618.178005
0,20,620.205005
0,20,621.793004
0,20,623.944004
1,18,627.334004
0,20,630.979007
0,20,632.737004
0,20,635.141004
0,20,637.844006
0,20,640.702028
0,20,643.071004
0,20,645.252004
0,20,648.212005
0,20,650.466007
0,20,652.317004
0,20,654.406005
0,20,656.114005
0,20,659.983028
0,20,662.584005
0,20,665.333004
0,20,667.469007
0,20,669.170005
0,20,671.343029
0,20,672.886005
0,20,674.590004
0,20,676.243007
0,20,678.402004
0,20,680.077005
0,20,682.076005
0,20,683.749005
0,20,685.594005
0,20,687.634004
0,20,689.905004
0,20,691.837008
0,20,694.812029
0,20,696.874007
0,20,699.866035
0,20,701.976004
0,20,705.678005
0,20,707.337004
0,20,709.462006
0,20,711.443004
0,20,713.191007
0,20,715.152005
